Car_Name,Review,comfort,economy,familiarity,like,looks,model,overall,performance,purchase_condition,review_date,total_likes,user_name,value_for_money
Tata Harrier,,5,4,Have driven for a few hundred kilometres,2,5,XZ,5,5,New,2019-01-25,2,TUSHARKUMAR PARMAR ,5
Tata Harrier,,5,5,Have driven for a few hundred kilometres,2,5,XE,5,5,New,2019-02-05,2,Devendra Sharma,5
Tata Harrier,,4,3,Haven't driven it,1,5,XE,3,4,Not Purchased,2019-01-27,1,Manish Kedari,3
Tata Harrier,,4,3,Have done a short test-drive once,1,4,XZ,3,4,New,2019-01-30,2,Saikumar,4
Tata Harrier,,3,2,Haven't driven it,1,4,XE,2,3,Not Purchased,2019-01-27,1,Pawandeep,2
Tata Harrier,,5,4,It's my mate since ages,1,5,XE,4,4,Not Purchased,2019-01-28,1,Sajan,5
Tata Harrier,,5,5,It's my mate since ages,1,5,XZ,5,5,Not Purchased,2019-01-26,1,Narasimhan,5
Tata Harrier,,5,5,Have driven for a few hundred kilometres,0,5,XE,4,5,New,2019-01-27,0,Hero Ahir,4
Tata Harrier,,5,5,Have done a short test-drive once,0,5,XM,5,5,Not Purchased,2019-02-19,0,Abhijeet Kadam ,5
Tata Harrier,,4,5,Haven't driven it,0,5,XE,4,5,New,2019-01-24,0,Krishna Birajdar,5
Tata Harrier,,4,5,Haven't driven it,0,5,XE,4,5,New,2019-01-24,0,Krishna Birajdar,5
Tata Harrier,,5,5,Haven't driven it,0,5,XZ,5,5,Not Purchased,2019-01-29,0,Sunny,5
Tata Harrier,,5,4,Have driven a few thousands kilometres,0,4,XT,5,5,Used,2019-02-21,0,Rohit nishad,4
Tata Harrier,,4,4,Haven't driven it,0,4,XT,4,5,Not Purchased,2019-01-24,0,Lokendra Singh,4
Tata Harrier,,5,5,Have driven for a few hundred kilometres,0,5,XZ,5,5,New,2019-02-10,0,Jayant,5
Tata Harrier,,5,5,It's my mate since ages,0,5,XZ,5,5,New,2019-01-27,0,Sanjeev Purri,5
Tata Harrier,,5,5,Have driven for a few hundred kilometres,0,5,XE,5,5,New,2019-02-01,0,Pratham yadav,5
Tata Harrier,,5,5,Haven't driven it,0,5,XE,5,5,Not Purchased,2019-01-23,0,dharma,5
Tata Harrier,,5,5,Have done a short test-drive once,0,5,XE,5,5,Not Purchased,2019-02-12,0,Raghav Bindal,5
Tata Harrier,,5,3,Haven't driven it,0,5,XE,5,4,Not Purchased,2019-01-30,0,Yashas,5
Tata Harrier,,5,5,Have done a short test-drive once,0,4,XZ,5,5,Not Purchased,2019-01-23,0,Anindya,5
Tata Harrier,,5,3,Haven't driven it,0,5,XT,5,4,Not Purchased,2019-02-01,0,Prayag Vansjaliya,5
Tata Harrier,,4,3,Have done a short test-drive once,0,5,XZ,5,5,Not Purchased,2019-01-25,0,Akash kumar,4
Tata Harrier,,5,4,Have done a short test-drive once,0,5,XZ,4,5,Not Purchased,2019-01-30,0,adeep,4
Tata Harrier,,5,5,Have driven a few thousands kilometres,0,5,XZ,4,4,New,2019-02-14,0,Narendra jat,5
Tata Harrier,,5,5,Haven't driven it,0,5,XZ,5,5,Not Purchased,2019-02-03,0,Nithin suresh,5
Tata Harrier,,5,3,Haven't driven it,0,5,XZ,4,3,Not Purchased,2019-01-23,1,Nitin,4
Tata Harrier,,5,5,Haven't driven it,0,5,XZ,5,5,Not Purchased,2019-01-27,0,DHANANJAY SINGH,4
Tata Harrier,,5,5,Have driven a few thousands kilometres,0,5,XZ,5,5,New,2019-02-16,0,Chetan Jamariya,5
Tata Harrier,,4,3,Have driven for a few hundred kilometres,0,5,XM,4,4,New,2019-01-26,0,Eshan Namdeo,4
Tata Harrier,,4,3,Have done a short test-drive once,0,5,XZ,5,4,Used,2019-01-31,0,Rashid ch,5
Tata Harrier,,5,3,Have driven for a few hundred kilometres,0,5,XZ,5,4,New,2019-01-23,0,manoj reddy,5
Tata Harrier,,5,4,Have done a short test-drive once,0,5,XZ,4,4,New,2019-01-28,0,Bharath Shivu,5
Tata Harrier,,5,5,Have driven for a few hundred kilometres,0,4,XM,5,5,New,2019-02-04,0,Unknown,5
Tata Harrier,,5,4,Haven't driven it,0,5,XZ,4,5,Not Purchased,2019-01-26,0,Prajith ,5
Tata Harrier,,5,5,Have done a short test-drive once,0,5,XZ,5,5,New,2019-01-31,0,Harpreet,5
Tata Harrier,,5,5,Haven't driven it,0,5,XE,5,5,Not Purchased,2019-02-17,0,Sandeep,5
Tata Harrier,,5,5,Haven't driven it,0,5,XZ,5,5,Not Purchased,2019-02-04,0,Mohammad Meeran,5
Tata Harrier,,5,3,Haven't driven it,0,5,XZ,5,4,Not Purchased,2019-01-23,0,Ishmit,5
Tata Harrier,,5,4,Have driven a few thousands kilometres,0,5,XZ,4,4,New,2019-02-18,0,Mohit Pandey,5
Tata Harrier,,5,4,Have driven a few thousands kilometres,0,5,XZ,4,4,New,2019-02-18,0,Mohit Pandey,5
Tata Harrier,,4,3,Haven't driven it,0,4,XE,4,4,Not Purchased,2019-01-23,0,Rajashekar,3
Tata Harrier,,5,4,Have driven for a few hundred kilometres,0,5,XM,4,4,New,2019-01-28,0,Nandakumar v,5
Tata Harrier,,4,3,Haven't driven it,0,4,XE,4,4,Not Purchased,2019-01-26,0,Krishna Sultaniya,3
Tata Harrier,,4,4,Have driven for a few hundred kilometres,0,4,XZ,5,4,New,2019-02-19,0,Paramasiva,5
Tata Harrier,,5,4,Haven't driven it,0,4,XZ,4,4,Not Purchased,2019-01-29,0,Eldhose reji,5
Tata Harrier,,5,4,Haven't driven it,0,5,XZ,5,5,Not Purchased,2019-02-06,0,Loveneet,4
Tata Harrier,,4,3,Have done a short test-drive once,0,4,XT,4,3,Not Purchased,2019-01-24,0,shubham,3
Tata Harrier,,4,4,Have done a short test-drive once,0,5,XT,4,5,New,2019-01-27,0,Harish sharma,5
Tata Harrier,,5,5,Have driven for a few hundred kilometres,0,5,XZ,5,5,Used,2019-02-20,0,Mukul kumar,5
Tata Harrier,,4,3,Haven't driven it,0,5,XM,4,4,Not Purchased,2019-01-24,0,Varzu,5
Tata Harrier,,5,4,Have driven for a few hundred kilometres,0,5,XZ,5,5,New,2019-01-29,0,DILLIP KUMAR MOHAPATRA,3
Tata Harrier,,3,3,Have done a short test-drive once,0,5,XZ,4,3,Not Purchased,2019-02-09,0,Davis daniel,4
Tata Harrier,,5,5,Haven't driven it,0,5,XZ,4,4,Not Purchased,2019-01-27,0,Guddu Tiwari ,5
Tata Harrier,,5,5,Haven't driven it,0,5,XM,5,5,Not Purchased,2019-01-24,0,Vijaysinh Mori,5
Tata Harrier,,5,4,Have driven for a few hundred kilometres,0,5,XE,5,5,Not Purchased,2019-01-30,0,Himanshu Gupta,5
Tata Harrier,,5,4,Have done a short test-drive once,0,5,XZ,5,5,Not Purchased,2019-02-10,0,Tarun Kumar,5
Tata Harrier,,5,4,Have driven for a few hundred kilometres,0,4,XE,5,4,Not Purchased,2019-01-27,0,Sujeer,5
Tata Harrier,,5,5,It's my mate since ages,0,5,XE,5,5,New,2019-02-01,0,Rishabh Chaudhary,5
Tata Harrier,,5,5,Have done a short test-drive once,0,5,XM,5,5,New,2019-01-23,0,Rajkumar,5
Tata Harrier,,5,4,Have done a short test-drive once,0,5,XZ,4,5,Not Purchased,2019-02-14,0,Tejas Patel ,4
